EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),
14160,2453372.50000,46161.00000,-6554.81135,1534.24567,1818.92985,-2.58103,-4.40476,-5.57878,6976.54788,0.00052,0.89873,6.26992,2.31261,0.48867,0.48915,0,338.1,-63.5,15.2,-127.6,
14180,2453372.50000,46181.00000,-6604.88552,1445.79644,1706.93397,-2.42619,-4.43982,-5.62037,6976.70222,0.00052,0.89874,6.26992,2.37211,0.45088,0.45134,0,336.8,-63.9,14.2,-126.9,
14200,2453372.50000,46201.00000,-6651.85144,1356.66684,1594.13260,-2.27021,-4.47279,-5.65932,6976.84799,0.00053,0.89875,6.26992,2.43016,0.41456,0.41499,0,335.5,-64.2,13.3,-126.1,
14220,2453372.50000,46221.00000,-6695.68690,1266.89879,1480.57894,-2.11316,-4.50366,-5.69560,6976.98490,0.00054,0.89876,6.26991,2.48686,0.37957,0.37997,0,334.1,-64.5,12.3,-125.4,
14240,2453372.50000,46241.00000,-6736.37114,1176.53452,1366.32655,-1.95511,-4.53241,-5.72919,6977.11272,0.00055,0.89876,6.26991,2.54235,0.34580,0.34617,0,332.7,-64.9,11.3,-124.7,
14260,2453372.50000,46261.00000,-6773.88493,1085.61654,1251.42933,-1.79613,-4.55903,-5.76008,6977.23117,0.00056,0.89877,6.26991,2.59675,0.31313,0.31347,0,331.3,-65.2,10.4,-124.0,
14280,2453372.50000,46281.00000,-6808.21050,994.18761,1135.94148,-1.63630,-4.58350,-5.78825,6977.34003,0.00056,0.89878,6.26991,2.65016,0.28144,0.28175,0,329.9,-65.5,9.4,-123.3,
14300,2453372.50000,46301.00000,-6839.33161,902.29075,1019.91749,-1.47569,-4.60582,-5.81369,6977.43906,0.00057,0.89878,6.26990,2.70269,0.25062,0.25091,0,328.5,-65.8,8.4,-122.5,
14320,2453372.50000,46321.00000,-6867.23353,809.96921,903.41210,-1.31439,-4.62597,-5.83639,6977.52803,0.00058,0.89879,6.26990,2.75445,0.22058,0.22083,0,327.0,-66.1,7.5,-121.8,
14340,2453372.50000,46341.00000,-6891.90304,717.26643,786.48029,-1.15246,-4.64394,-5.85633,6977.60675,0.00058,0.89879,6.26990,2.80554,0.19121,0.19143,0,325.5,-66.3,6.5,-121.1,
14360,2453372.50000,46361.00000,-6913.32847,624.22603,669.17724,-0.98999,-4.65973,-5.87351,6977.67505,0.00059,0.89880,6.26990,2.85605,0.16242,0.16261,0,324.0,-66.6,5.5,-120.4,
14380,2453372.50000,46381.00000,-6931.49968,530.89181,551.55832,-0.82705,-4.67333,-5.88792,6977.73277,0.00059,0.89880,6.26990,2.90608,0.13412,0.13428,0,322.4,-66.9,4.5,-119.7,
14400,2453372.50000,46401.00000,-6946.40805,437.30768,433.67902,-0.66372,-4.68472,-5.89955,6977.77980,0.00059,0.89880,6.26990,2.95570,0.10622,0.10634,0,320.8,-67.1,3.6,-119.1,
14420,2453372.50000,46421.00000,-6958.04654,343.51771,315.59501,-0.50008,-4.69391,-5.90839,6977.81606,0.00060,0.89880,6.26990,3.00502,0.07862,0.07872,0,319.2,-67.3,2.6,-118.4,
14440,2453372.50000,46441.00000,-6966.40963,249.56603,197.36200,-0.33620,-4.70089,-5.91445,6977.84147,0.00060,0.89881,6.26990,3.05411,0.05125,0.05131,0,317.6,-67.6,1.6,-117.7,
14460,2453372.50000,46461.00000,-6971.49336,155.49687,79.03580,-0.17216,-4.70566,-5.91771,6977.85599,0.00060,0.89881,6.26990,3.10306,0.02402,0.02405,0,315.9,-67.8,0.6,-117.0,
14480,2453372.50000,46481.00000,-6973.29533,61.35451,-39.32772,-0.00803,-4.70821,-5.91818,6977.85959,0.00060,0.89881,6.26990,3.15196,6.28003,6.28002,0,314.2,-68.0,-0.4,-116.3,
14500,2453372.50000,46501.00000,-6971.81469,-32.81673,-157.67270,0.15609,-4.70855,-5.91585,6977.85224,0.00060,0.89881,6.26990,3.20089,6.25282,6.25278,0,312.5,-68.2,-1.3,-115.6,
